user_id,zipcode,state,cc_number,cc_limit
29421272,03280,NH,4983684529421272,10000
14815025,76101,TX,9564529414815025,20000
66685378,10301,NY,9115117466685378,14000
14441110,03280,NH,1369606314441110,10000
65266121,03280,NH,2649496526612100,5000
2591132,00690,PR,4669713102591132,15000
93526092,03280,NH,4843949935260920,10000
10283644,16720,PA,1595839810283644,16000
51939204,03280,NH,2495178151939204,9000
80956712,03280,NH,9406499809567120,9000
36842563,94101,CA,1831012936842563,9000
90156180,03280,NH,1435525901561800,5000
99745431,15342,PA,6604694799745431,16000
17746622,45201,OH,4562331177466220,9000
77569724,15342,PA,6989361777569724,12000
5601122,03280,NH,6323115505601122,14000
4146805,03280,NH,1402949704146805,9000
93675203,73101,OK,7065776393675203,20000
45471554,03280,NH,9245189445471554,10000
11483774,03280,NH,1969761011483774,10000
22777203,10001,NY,1189426227772030,6000
57668127,04408,ME,5338730557668127,20000
26428988,17968,PA,5822845326428988,4000
76213989,03280,NH,2923989776213989,4000
34156339,14808,NY,3199636234156339,10000
31267668,03280,NH,6497088031267668,8000
77074773,15342,PA,8733986877074773,10000
54284510,01254,MA,1184062654284510,20000
58179365,04101,ME,8820221758179365,2000
29321618,03280,NH,1861910929321618,15000
3614798,10001,NY,5203320603614798,20000
53965419,03280,NH,6956756753965419,16000
73294418,03280,NH,5640713373294418,18000
36528610,05820,VT,3203600636528610,9000
60942592,03280,NH,3088823260942592,8000
59159666,03280,NH,4680465759159666,12000
72789962,18612,PA,2021871572789962,16000
98640348,15342,PA,1895480798640348,14000
83555659,10001,NY,7116886683555659,12000
36520980,26412,WV,9070119536520980,20000
96895397,03280,NH,4208932896895397,4000
95023093,61738,IL,3333387095023093,10000
98281710,03280,NH,8609952298281710,4000
89678053,15342,PA,9337129789678053,6000
33816723,04101,ME,2763972433816723,10000
81735809,06237,CT,4281223581735809,12000
68340989,03280,NH,4004465568340989,20000
39680214,26412,WV,9717510439680214,20000
76888093,16611,PA,1244479476888093,8000
66580654,04422,ME,5021053866580654,16000
80748808,84101,UT,5517297807488080,7000
27688281,03280,NH,6162838127688281,5000
71865848,08810,NJ,3218604471865848,20000
